*** O
intro O
against O
be O
bon O
dia O
a O
tots O
equip O
contrincant O
estimat O
jurat O
public O
assistent O
nosaltres O
som O
l'equip O
de O
la B
universitat I
rovira I
i I
virgili I
compost I
per I
a I
l'escena I
laia I
cunillera I
pablo I
hernandez I
arnau I
just I
jo I
mateix I
josep I
masdeu I
avui I
hem I
vingut I
a I
exposar I
en I
aquest I
forum I
de I
debat I
la I
nostra I
posicio I
sobre I
un I
tema I
que I
ens I
pareix I
especialment I
rellevant I
i I
es I
si I
la I
nostra I
societat I
i I
al I
cap I
i I
a I
la I
fi I
en I
un I
mon I
cada I
cop I
mes I
global I
tots I
hem I
de I
permetre I
en I
conjunt I
permetre I
algu I
qualsevol I
persona I
que I
contracti I
amb I
una I
dona I
donar I
a I
llum I
gestar E
o O
una O
altra O
persona O
aquesta B
hipotetica I
institucio I
legal I
per I
la I
qual I
unes I
parts I
demanden I
la I
dona E
ofereix B
dur I
a I
terme I
uns I
serveis E
es B
la I
gestacio I
subrogada E
son B
els I
ventres I
de I
lloguer E
vist O
aixo O
aquesta B
hipotetica I
institucio I
legal I
pot I
semblar I
una I
institucio I
neutral E
quelcom B
semblant I
a I
un I
qui I
pro I
quo I
habitual E
pero B
al I
nostre I
equip I
creiem I
que I
res I
en I
la I
nostra I
societat I
i I
menys I
una I
institucio I
legal I
es I
neutral E
i O
dit O
aixo O
els B
vull I
plantejar I
una I
pregunta I
que I
tenen I
en I
comu I
els I
esclaus I
de I
l'antiguitat I
els I
sers I
del I
senyor I
feudals I
a I
l'edat I
mitjana I
les I
prostitutes I
amb I
una I
llarga I
historia I
en I
les I
nostres I
societats I
que I
tenen I
en I
comu I
una I
institucio I
com I
la I
gestacio I
subrogada E
els O
explico O
al B
llarg I
de I
la I
nostra I
historia I
hem I
pogut I
veure I
observar I
un I
continuu I
un I
fil I
conductor I
per I
part I
de I
poderosos I
i I
col*lectius I
vulnerables I
un I
fil I
conductor I
al I
cap I
i I
a I
la I
fi I
per I
part I
d I
opressors I
i I
oprimits E
ara B
el I
col*lectiu I
amenacat I
en I
aquesta I
ocasio I
amb I
aquests I
progressos I
tecnologics I
son I
les I
nostres I
companyes I
son I
les I
dones E
la B
seva I
possible I
condemna I
pel I
sistema I
pel I
sistema I
capitalista I
de I
mercat I
es I
la I
cosificacio I
la I
mercantilitzacio E
aquesta B
opressio I
evidentment I
necessita I
mecanismes I
legals I
per I
desenvolupar-se E
es O
aixo O
el O
que O
estem O
debatent O
i O
amb O
aixo O
els O
vull O
portar O
un O
altre O
concepte O
aquest O
concepte O
es O
la B
utilitzacio I
la I
mercantilitzacio I
d'una I
dona I
d'un I
esser I
huma I
com I
un I
mitja I
com I
una I
cosa I
per I
obtenir I
un I
benefici I
propi I
per I
obtenir I
el I
lucre E
aquest B
fet I
autor I
teoritzat I
en I
l'ambit I
de I
la I
filosofia I
pel I
filosof I
del I
segle I
divuit I
emmanuel I
kant I
en I
l'ambit I
en I
el I
concepte I
de I
la I
dignitat I
humana E
i O
es O
que O
quan B
una I
persona I
es I
tractada I
com I
un I
fi I
en I
si I
mateix I
es I
un I
mitja I
es I
una I
cosa E
i O
d'aixo B
la I
gestacio I
subrogada I
se'ns I
presenta I
com I
un I
eficac I
un I
pervers I
mecanisme I
el I
sistema I
imperant I
economic I
i I
de I
mercat I
per I
cosificar I
per I
mercantilitzar I
cada I
dia I
mes I
la I
dona I
en I
les I
nostres I
societats I
que I
son I
vaja I
de I
passada I
cada I
cop I
mes I
capitalistes I
mes I
desregulades I
on I
ja I
son I
prou I
maltractades I
al I
cap I
i I
a I
la I
fi I
per I
part I
de I
poderosos I
per I
part I
de I
benestants E
es B
la I
cosificacio I
de I
la I
dona E
i O
aixo O
els B
mostrem I
els I
mostrem I
entre I
altres I
com I
les I
nostres I
societats I
ens I
dediquem I
a I
debatir I
en I
discussions I
bizantines I
que I
no I
s'acaben I
mai I
sobre I
una I
gestacio I
altruista I
utopica I
idealista I
que I
no I
es I
possible E
quan B
en I
realitat I
podem I
veure I
els I
efectes I
nocius I
de I
la I
gestacio I
subrogada I
ara I
avui I
on I
ja I
es I
legal I
als I
paisos I
en I
vies I
de I
desenvolupament E
on B
es I
produeixen I
abusos I
constantment I
en I
col*lectius I
verdaderament I
vulnerables I
en I
condicions I
degradants E
i O
es O
que O
per B
fer I
front I
als I
reptes I
globals I
i I
fer I
creixer I
la I
nostra I
societat I
el I
que I
necessitem I
es I
potenciar I
models I
alternatius I
de I
