tots 53.93 54.26 tots O
i 54.26 54.34 i O
totes 54.34 54.92 totes O
procedim 55.26 55.72 procedim O
ara 55.72 55.99 ara O
al 56.0 56.11 al O
debat 56.11 56.59 debat O
de 56.59 56.87 de O
ramon 56.88 57.3 ramon O
llull 57.3 57.57 llull O
contra 57.57 57.9 contra O
miguel 57.9 58.11 miguel O
hernandez 58.11 58.76 hernández O
abans 59.12 59.37 abans O
de 59.37 59.44 de O
comencar 59.44 59.81 començar O
farem 59.81 60.01 farem O
un 60.01 60.12 un O
recordatoris 60.12 60.84 recordatoris O
com 60.84 61.01 com O
sempre 61.01 61.49 sempre O
recordeu 62.08 62.5 recordeu O
que 62.5 62.57 que O
entre 62.57 62.72 entre O
els 62.72 62.81 els O
membres 62.81 63.04 membres O
de 63.04 63.11 de O
l'equip 63.11 63.42 l'equip O
nomes 63.42 63.65 només O
es 63.65 63.78 es O
pot 63.78 64.12 pot O
parlar 64.2 64.5 parlar O
a 64.5 64.53 a O
traves 64.53 64.81 través O
de 64.81 64.89 de O
notes 64.89 65.13 notes O
escrites 65.13 66.01 escrites O
que 66.52 66.68 que O
no 66.68 66.76 no O
es 66.76 66.86 es O
pot 66.86 67.04 pot O
parlar 67.04 67.33 parlar O
a 67.33 67.36 a O
la 67.37 67.43 la O
sala 67.43 67.93 sala O
ni 67.93 68.04 ni O
es 68.04 68.14 es O
poden 68.14 68.37 poden O
fer 68.37 68.48 fer O
senyals 68.48 68.83 senyals O
als 68.83 68.96 als O
participants 68.96 69.8 participants O
i 69.8 69.85 i O
intentar 69.85 70.21 intentar O
no 70.21 70.3 no O
entrar 70.3 70.75 entrar O
ni 70.81 70.97 ni O
sortir 70.97 71.35 sortir O
per 71.35 71.51 per O
no 71.51 71.59 no O
distreure 71.59 72.21 distreure O
silenciar 73.08 73.58 silenciar O
els 73.58 73.69 els O
mobils 73.69 74.07 mòbils O
o 74.07 74.14 o O
apagar-los 74.14 75.06 apagar-los O
si 75.31 75.52 si O
feu 75.52 75.66 feu O
a 75.66 75.7 a O
cites 75.7 76.02 cites O
en 76.02 76.15 en O
catala 76.15 76.62 català O
o 76.62 76.69 o O
si 76.69 76.81 si O
les 76.81 76.96 les O
feu 76.96 77.08 feu O
en 77.08 77.17 en O
llengua 77.17 77.4 llengua O
original 77.4 77.88 original O
traduir-les 77.88 78.76 traduir-les O
i 79.32 79.46 i O
que 79.46 79.77 que O
heu 79.89 80.02 heu O
de 80.02 80.12 de O
respectar 80.12 80.69 respectar O
molt 80.69 80.82 molt O
estrictament 80.82 81.36 estrictament O
el 81.36 81.46 el O
temps 81.46 81.69 temps O
assignat 81.69 82.21 assignat O
podeu 82.75 83.0 podeu O
fer 83.0 83.14 fer O
preguntes 83.14 83.66 preguntes O
comentaris 83.66 84.26 comentaris O
i 84.26 84.29 i O
observacions 84.29 85.07 observacions O
pero 85.07 85.23 però O
no 85.23 85.32 no O
poden 85.32 85.53 poden O
accedir 85.53 85.82 accedir O
als 85.82 85.91 als O
quinze 85.91 86.16 quinze O
segons 86.16 87.16 segons O
i 87.2 87.29 i O
s'han 87.29 87.49 s'han O
de 87.49 87.6 de O
fer 87.6 87.79 fer O
els 87.79 87.92 els O
torns 87.92 88.11 torns O
de 88.11 88.29 de O
refutacions 88.46 89.39 refutacions O
recordant 89.41 89.89 recordant O
tambe 89.89 90.16 també O
que 90.16 90.28 que O
l'ultim 90.28 90.59 l'últim O
minut 90.59 90.84 minut O
es 90.84 90.97 és O
protegit 90.97 91.57 protegit O
i 92.29 92.54 i O
per 92.54 92.72 per O
ultim 92.72 93.04 últim O
si 93.04 93.15 si O
els 93.15 93.34 els O
capitans 93.34 94.05 capitans O
o 94.05 94.24 o O
capitana 94.25 94.73 capitana O
detecteu 94.73 95.12 detecteu O
alguna 95.12 95.34 alguna O
anomalia 95.34 95.83 anomalia O
