ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,FAVOUR,,,fa dos mesos vint-i-cinc famílies espanyoles varen quedar atrapades a ucraïna no es reconeixia la nacionalitat espanyola al menor nascut per gestació subrogada,hace dos meses veinticinco familias españolas quedaron atrapadas a ucraïna no se reconocía la nacionalidad española al menor nacido por gestación subrogada,two months ago twenty-five Spanish families stayed trapped at ucraïna did not recognise  the Spanish nationality at the minor been born by surrogacy
2,INTRO,,FAVOUR,1,RA,davant d'aquesta realitat innegable l'estat és cec,ante esta realidad innegable el estado es ciego,in front of this reality innegable the state is blind
3,INTRO,,FAVOUR,2,RA,fent així que es produeixi una situació de desprotecció jurídica al menor nascut per gestació subrogada,haciendo así que se produzca una situación de desprotección jurídica al menor nacido por gestación subrogada,making so it produce  a situation of desprotecció juridical at the minor been born by surrogacy
4,INTRO,,FAVOUR,2,MA,ha arribat el moment que l'estat es tregui la bena,ha llegado el momento que el estado se saque la venda,has arrived the moment that the state remove  the bandage
5,INTRO,,FAVOUR,4,RA,i faci front a aquesta situació legalitzant la maternitat subrogada,y haga frente a esta situación legalizando la maternidad subrogada,and face at this situation legalising the surrogacy
6,INTRO,,FAVOUR,,,mitjançant tres sòlids arguments,mediante tres sólidos argumentos,by means of three solid arguments
7,INTRO,,FAVOUR,6,RA,el primer  la protecció del menor,lo primero la protección del menor,the first the protection of the minor
8,INTRO,,FAVOUR,6,RA,el segon les garanties dels pares,el segundo las garantías de los padres,the second the parents's guarantees
9,INTRO,,FAVOUR,6,RA,i  el tercer la llibertat de la dona gestant,y lo tercero la libertad de la mujer gestante,and the third the liberty of the wife gestant
10,INTRO,,FAVOUR,,,que entenem per gestació subrogada,que entendemos por gestación subrogada,that understand for surrogacy
11,INTRO,,FAVOUR,10,RA,la definició de l'informe guarno defineix la gestació subrogada com una tècnica de reproducció assistida,la definición del informe guarno define la gestación subrogada como una técnica de reproducción asistida,the definition of the report guarno defines the surrogacy how a technician of reproduction assisted
12,INTRO,,FAVOUR,11,RA,a través de la qual una persona soltera una parella de fet o un matrimoni que volen tenir un fill concerten la gestació amb una altra dona,a través de la cual una persona soltera una pareja de hecho o un matrimonio que quieren tener un hijo conciertan la gestación con otra mujer,through which a person soltera a couple in fact or a marriage that want to have a son concerten the gestation with another wife
13,INTRO,,FAVOUR,12,RA,que renuncia a la filiació materna a favor de les parts contractants,que renuncia a la filiación materna a favor de las partes contratantes,that renounces at the filiació maternal in favour of the contracting parties
14,INTRO,,FAVOUR,12;13,MA,una dona gesta el fill d'un altre per entregar-li en néixer,una mujer gesta el hijo de otro para entregarle al nacer,a wife feat the son of another to hand him at being born
15,INTRO,,FAVOUR,,,què entenem per legalitzar,que entendemos para legalizar,what understand to legalise
16,INTRO,,FAVOUR,15,RA,legalitzar vol dir la incorporació d'una pràctica o costum a una norma amb rang de llei,legalizar quiere decir la incorporación de una práctica o costumbre a una norma con rango de ley,legalise means the incorporation of a practice or habit at a norm with rank of law
17,INTRO,,FAVOUR,16,RA,a espanya d'acord amb la llei catorze barra dos mil sis del vint-i-sis de maig concretament l'article deu ens diu els contractes de gestació subrogada són nuls de ple dret,a espanya de acuerdo con la ley catorce barra dos mil seis del veintiséis de mayo concretamente el artículo diez nos dice los contratos de gestación subrogada son nulos de pleno derecho,at espanya of chord with the law fourteen bar two thousand six of the twenty-six of May concretely the article ten says us the agreements of surrogacy are null full-fledged
18,INTRO,,FAVOUR,17,MA,és a dir que són il·legals ,es decir que son ilegales,that is to say that they are illegal
19,INTRO,,FAVOUR,18,RA,això fa que es produeixi una enorme situació de desprotecció jurídica tant als menors com a les mares,esto hace que se produzca una enorme situación de desprotección jurídica tanto a los menores como las madres,this makes that it produce  a huge situation of desprotecció juridical so much at the minors as a the mothers
20,INTRO,,FAVOUR,19,RA,donat que aquesta pràctica de reproducció assistida es duu a terme a la nostra societat,dado que esta práctica de reproducción asistida se lleva a cabo a nuestra sociedad,given that this practice of reproduction assisted carries out  at our society
21,INTRO,,FAVOUR,1;2;20,RA,com per exemple mencionàvem a l'inici de la nostra intervenció,como por ejemplo mencionábamos al inicio de nuestra intervención,and for example mencionàvem at the onset of our intervention
22,INTRO,,FAVOUR,20,RA,i no només això sinó que un setanta per cent de la societat espanyola està a favor de legalitzar aquesta pràctica,y no solo esto sino que un setenta por ciento de la sociedad española está a favor de legalizar esta práctica,and no only this but that one seventy percent of the Spanish society is in favour of legalising this practice
23,INTRO,,FAVOUR,22,RA,(nosaltres també) estem a favor per protegir les parts implicades,(nosotros también) estamos a favor para proteger las partes implicadas,(we also) are in favour to protect the parts implied
