ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,RELATED ID.2,ARGUMENTAL RELATION  TYPE.2,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,3,FAVOUR,,,,,,,situem-nos en un moment als estats units dels anys vint i els anys trenta és durant aquest període en el qual s'aprova una llei que passarà a la història pel seu contingut la coneguda per tots com llei seca aquesta va ser el resultat d'una forta pressió popular fruit de la relació que la població va establir entre el creixement de la violència que va sofrir als estats units durant els últims anys i el consum de begudes alcohòliques,situémonos en un momento en los estados unidos de los años veinte y en treinta es durante este periodo en el cual se aprueba una ley que pasará a la historia por su contenido la conocida por todos como ley seca esta fue el resultado de una fuerte presión popular fruto de la relación que la población estableció entre el crecimiento de la violencia que sufrió en los estados unidos durante los últimos años y el consumo de bebidas alcohólicas,situate us in a second at the states united of the years twenty and the years thirty is during this period at which approves  a law that will pass at the history for his content the acquaintance for all how dry law this was the result of a strong popular pressure fruit of the account that the populace established among the growth of the violence that suffered at the states united during the last years and the consumption of alcoholic drinks
2,INTRO,3,FAVOUR,1,RA,,,,,una pressió social que va portar el govern del moment a no només no voler regular aquesta pràctica sinó a prohibir-la contundentment,una presión social que llevó el gobierno del momento a no solo no querer regular esta práctica sino a prohibirla contundentemente,a social pressure that took the governance of the moment at no only not wanting to regulate this practice but at prohibiting it contundentment
3,INTRO,3,FAVOUR,,,,,,,no obstant prohibir aquesta pràctica la fabricació el transport la importació l'exportació i la venda d'alcohol durant aquest període només es va aconseguir reduir el consum d'aquest tipus de begudes en un cinquanta per cent,no obstante prohibir esta práctica la fabricación el transporte la importación la exportación y la venta de alcohol durante este periodo solo se consiguió reducir el consumo de este tipo de bebidas en un cincuenta por ciento,no obstant prohibit this practice the fabrication the transport the import the export and the sale of alcohol during this period only achieved  reduce the consumption of this type of drinks at a fifty percent
4,INTRO,3,FAVOUR,2,RA,,,,,va contribuir a augmentar la delinqüència,contribuyó a aumentar la delincuencia,contributed at augmenting the delinquency
5,INTRO,3,FAVOUR,,,,,,,s'hauria legalitzar la maternitat subrogada per evitar la complicitat del nostre país en pràctiques que són moralment reprovables,se habría legalizar la maternidad subrogada para evitar la complicidad de nuestro país en prácticas que son moralmente reprobables,would have  legalise the surrogacy to eschew the complicity of our country at practices that are morally reprovables
6,INTRO,,FAVOUR,,,,,,,legalitzar és permetre una pràctica que anteriorment havia   estat prohibida,legalizar es permitir una práctica que anteriormente había sido prohibida,legalise is to permit a practice that anteriorly had been prohibited
7,INTRO,1,FAVOUR,,,,,,,argument fàctic,argumento fáctico,argument fàctic
8,INTRO,1,FAVOUR,7,RA,,,,,és una realitat en el nostre país,es una realidad en nuestro país,is a reality at our country
9,INTRO,1,FAVOUR,7;8,RA,,,,,és una realitat que es dóna de facto,es una realidad que se da de facto,is a reality that gives  of facto
10,INTRO,1,FAVOUR,6,RA,,,,,entendre si és necessari o no legalitzar,entender si es necesario o no legalizar,understand if necessary or not legalising
