ID (Chronological),TYPE (Part + Person),ARGUMENT NUMBER,TEAM STANCE,RELATED ID,ARGUMENTAL RELATION  TYPE,RELATED ID.1,ARGUMENTAL RELATION  TYPE.1,ADU_CAT,ADU_ES,ADU_EN
1,INTRO,,AGAINST,,,,,no és desacceleració econòmica,no es desaceleración económica,is not economic deceleration
2,INTRO,,AGAINST,1,RA,,,és crisi,es crisis,is crisis
3,INTRO,,AGAINST,,,,,no hi ha reducció de plantilla,no hay reducción de plantilla,there is not cut of team
4,INTRO,,AGAINST,3,RA,,,hi ha acomiadament,hay despido,there is dismissal
5,INTRO,,AGAINST,,,,,no es produeixen danys col·laterals,no se producen daños colaterales,do not produce  collateral harms
6,INTRO,,AGAINST,5,RA,,,hi han víctimes civils,han víctimas civiles,have  civil victims
7,INTRO,,AGAINST,,,,,no és gestació subrogada,no es gestación subrogada,is not surrogacy
8,INTRO,,AGAINST,7,RA,,,són ventres de lloguers,son vientres de alquileres,are bellies of hires
9,INTRO,,AGAINST,1;2;3;4;5;6;7;8,RA,,,amb les paraules intentem naturalitzar una realitat que ens neguem anomenar,con las palabras intentamos naturalizar una realidad que nos negamos denominar,with the words attempt to naturalise a reality that deny us nickname
10,INTRO,,AGAINST,7;8,RA,,,la gestació subrogada o els ventres de lloguer impliquen una clara vulneració dels drets i llibertats fonamentals,la gestación subrogada o los vientres de alquiler implican una clara vulneración de los derechos y libertades fundamentales,the surrogacy or the bellies for hire imply a clear violation of the laws and fundamental liberties
11,INTRO,,AGAINST,10,RA,,,no  només de la mare gestant,no solo de la madre gestante,no only of the mother gestant
12,INTRO,,AGAINST,11,RA,,,sinó també del menor,sino también del menor,but also of the minor
13,INTRO,,AGAINST,,,,,tres arguments,tres argumentos,three arguments
14,INTRO,,AGAINST,13,RA,,, la mercantilització del menor,la mercantilización del menor,the mercantilització of the minor
15,INTRO,,AGAINST,13,RA,,,l'objectivització de la mare gestant,la objectivització de la madre gestante,the objectivització of the mother gestant
16,INTRO,,AGAINST,13,RA,,,l'argument cavall de troia,el argumento caballo de troia,the argument horse of troia
17,INTRO,,AGAINST,,,,,que entenem per gestació subrogada,que entendemos por gestación subrogada,that understand for surrogacy
18,INTRO,,AGAINST,17,RA,,,l'informe warnock determina la gestació subrogada com una pràctica mitjançant la qual una dona gesta o porta al seu ventre un nen per a una altra dona amb la intenció d'entregar-li després de que neixi,el informe warnock determina la gestación subrogada como una práctica mediante la cual una mujer gesta o puerta a su vientre un niño para otra mujer con la intención de entregarle después de que nazca,the report warnock determines the surrogacy how a practice by means of which a wife feat or door at his belly a boy for another wife with the intent to hand him after that it was born
19,INTRO,,AGAINST,18,MA,,,és a dir que la dona està llogant el seu ventre,es decir que la mujer está alquilando su vientre,that is to say that the wife is renting his belly
20,INTRO,,AGAINST,,,,, que entenem per legalitzar,que entendemos para legalizar,that understand to legalise
21,INTRO,,AGAINST,20,RA,,,legalitzar significa donar estat legal a una cosa,legalizar significa dar estado legal a una cosa,legalise means to give legal state at a thing
22,INTRO,,AGAINST,21,RA,,,el nostre país d'acord amb la llei catorze dos mil sis del vint-i-sis de maig en l'article deu punt u declara nuls de ple drets tots els contractes de gestació subrogada,nuestro país de acuerdo con la ley catorce dos mil seis del veintiséis de mayo en el artículo diez punto uno declara nulos de pleno derechos todos los contratos de gestación subrogada,our country of chord with the law fourteen two thousand six of the twenty-six of May at the article ten point u declares null of full laws all the agreements of surrogacy
23,INTRO,,AGAINST,22,RA,,,perquè aquests contractes vulneren clarament els drets i llibertats fonamentals,porque estos contratos vulneran claramente los derechos y libertades fundamentales,so that these agreements vulneren clearly the laws and fundamental liberties
24,INTRO,,AGAINST,23,RA,,,no només de la dona gestant,no solo de la mujer gestante,no only of the wife gestant
25,INTRO,,AGAINST,24,RA,,,sinó també del menor,sino también del menor,but also of the minor
26,INTRO,,AGAINST,24;25,RA,,,en tant que es cosifiquen s'objectivitzen i es quantifiquen a les persones,en cuanto que se cosifiquen se objectivitzen y se cuantifican a las personas,at so much that  cosifiquen  objectivitzen and quantify  at the persons
27,INTRO,,AGAINST,26,RA,,,es troben a les persones un ús,se encuentran a las personas un uso,find  at the persons an use
28,INTRO,,AGAINST,27,RA,,, obre les portes a un context que permet que aquestes persones siguin utilitzades per fins il·lícits,abre las puertas a un contexto que permite que estas personas sean utilizadas por hasta ilícitos,opens the doors at a context that permits that these persons are utilised by illicit ends
29,INTRO,,AGAINST,14,RA,,,per què diem que hi ha una mercantilització del menor,por qué decimos que hay una mercantilización del menor,how come say that there is a mercantilització of the minor
30,INTRO,,AGAINST,29,RA,,,perquè la gestació subrogada utilitza el menor com un objecte de compravenda,porque la gestación subrogada utiliza el menor como un objeto de compraventa,so that the surrogacy utilises the minor like an object of compravenda
31,INTRO,,AGAINST,30,RA,,,i s'està està mercantilitzant una vida humana,y se está está mercantilizando una vida humana,and is  is mercantilitzant a human life
